범죄분류,농임수산업,광업,제조업,건설업,도소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,교원(사립),사무원,기술자,점원,공원,운전자,경비원,외판원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,의사,변호사,교수,종교가,언론인,예술인,기타전문직,공무원,군인,학생,주부,무직자,미상
절도,11,0,9,18,2,17,8,2,4,0,2,2,0,0,3,82,0,0,18,2,50,3,1,1,282,2,3,68,263,296,0,3,1,0,1,11,65,1,0,249,50,943,433
장물,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,4,1,13,10
사기,6,0,5,10,16,26,19,2,4,0,7,2,0,0,0,213,0,3,11,3,10,3,0,5,167,0,2,27,139,140,8,2,0,3,0,4,46,0,0,157,33,989,486
횡령,5,0,5,5,1,5,3,1,1,0,1,1,0,0,0,49,1,0,7,1,14,1,1,1,66,0,0,22,59,63,1,0,2,4,1,0,16,1,0,60,8,139,103
배임,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,9
손괴,2,0,2,8,0,4,3,0,0,1,1,1,0,0,0,31,0,1,13,2,10,2,0,0,107,1,0,8,83,73,1,0,0,1,0,3,26,0,0,26,8,173,119
살인,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,15,0,0,4,22,11,0,0,0,0,0,0,0,0,0,1,1,34,11
강도,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,16,5,0,0,0,0,0,0,0,0,0,5,0,20,11
방화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,10,2
성폭력,3,0,4,3,2,7,4,0,2,0,1,0,0,1,0,33,2,2,14,4,15,0,0,0,134,2,3,22,102,98,1,1,2,3,0,3,48,2,0,81,0,179,172
폭행,5,0,15,61,2,26,29,4,9,1,2,5,1,0,0,254,1,4,98,4,115,12,1,14,825,3,7,96,806,645,7,3,7,5,0,19,119,0,0,269,106,1156,687
상해,4,0,10,26,2,3,6,1,0,0,1,1,1,0,0,62,1,0,27,3,117,2,0,1,330,1,3,31,478,293,4,0,2,0,0,1,34,0,0,85,26,424,216
협박,0,0,2,6,0,2,3,0,0,1,0,0,0,0,0,30,1,0,10,0,3,1,1,0,58,0,0,9,47,39,1,1,0,1,1,2,10,0,0,9,6,86,43
공갈,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,9,0,0,1,9,16,0,0,0,0,0,0,5,0,0,4,2,57,28
약취와 유인,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
체포와 감금,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,5,5,0,1,1,0,0,0,1,0,0,1,0,27,7
"폭력행위등(손괴,강요,주거침입등)",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,10,0,0,0,10,0,1,0,8,0,0,0,0,1,0,2,0,0,0,5,3,5,8
"폭력행위등(단체등의구성, 활동)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
통화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
유가증권·인지·우표,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
문서,0,0,0,5,0,2,2,0,0,0,1,0,0,0,0,14,0,0,3,0,16,0,0,0,24,0,5,6,54,38,0,1,0,1,0,0,1,0,0,4,12,106,128
인장,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,2,0,0,0,5,2,0,0,0,0,0,1,1,0,0,1,0,8,4
증뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
도박과 복표,1,0,0,9,0,0,3,0,1,0,0,0,0,0,0,14,0,0,12,0,3,2,0,0,43,0,0,12,105,45,0,0,1,0,0,0,8,0,0,2,11,163,25
기타음란행위,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,0,2,4,10,5,0,0,0,0,0,0,2,1,0,3,0,20,14
과실치사상,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,2,11,5,0,0,0,0,0,1,0,0,0,4,1,8,13
업무상과실치사상,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,2,1,0,0,11,0,0,0,3,21,3,0,0,0,0,0,2,0,0,0,0,2,6
실화,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,3,0,0,1,1,2,0,0,0,5,0,0,3,5,12,0,0,0,0,0,0,1,0,0,2,3,6,6
명예,0,0,1,1,3,0,1,0,1,0,0,0,0,0,0,9,2,0,0,0,2,0,0,0,20,0,0,1,14,21,2,0,5,3,0,3,6,0,0,7,4,32,43
권리행사방해,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,4,8
신용업무경매,1,0,0,9,1,6,6,0,0,0,0,0,1,0,0,17,2,1,4,1,6,0,0,1,60,0,0,14,85,74,0,1,3,2,0,0,10,0,0,10,7,169,81
주거침입,0,0,1,2,0,1,2,0,0,1,0,0,0,0,0,10,0,0,1,0,1,2,0,2,24,0,0,1,30,28,0,0,1,0,1,0,4,0,0,9,1,71,31
비밀침해,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
교통방해,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,4
공무방해,0,0,0,3,0,6,2,0,1,0,0,0,0,0,0,19,0,0,7,2,14,0,0,1,44,0,0,3,43,39,0,1,0,0,0,1,6,0,0,12,5,118,80
도주와범인은닉,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,1,8,7,0,0,0,0,0,0,0,0,0,3,1,2,3
위증과증거인멸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,11,8
무고,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,1,0,0,4,0,17,16
공안을해하는죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
기타,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
