관할동,설치위치도로명주소,관리부서연락처
녹번동,서울특별시 은평구 통일로 63길 15,02-351-5021
녹번동,서울특별시 은평구 은평로21가길 22-3,02-351-5021
녹번동,서울특별시 은평구 은평로13길 27,02-351-5021
녹번동,서울특별시 은평구 은평로 195,02-351-5021
녹번동,서울특별시 은평구 진흥로12길 9,02-351-5021
녹번동,서울특별시 은평구 진흥로12가길 19,02-351-5021
녹번동,서울특별시 은평구 녹번로9길 11,02-351-5021
녹번동,서울특별시 은평구 녹번로9길 17,02-351-5021
녹번동,서울특별시 은평구 녹번로6길 12-18,02-351-5021
녹번동,서울특별시 은평구 진흥로12가길 15,02-351-5021
녹번동,서울특별시 은평구 녹번로 6길5,02-351-5021
불광1동,서울특별시 은평구 불광로11길 5,02-351-5054
불광1동,서울특별시 은평구 통일로68가길 3,02-351-5054
불광1동,서울특별시 은평구 불광로 40-3,02-351-5054
불광1동,서울특별시 은평구 불광로13가길 24-1,02-351-5054
불광1동,서울특별시 은평구 통일로68길 12-6,02-351-5054
불광1동,서울특별시 은평구 통일로68가길 3-11,02-351-5054
불광1동,서울특별시 은평구 통일로68길 25,02-351-5054
불광1동,서울특별시 은평구 통일로72길 30-33,02-351-5054
불광1동,서울특별시 은평구 통일로68가길 20,02-351-5054
불광1동,서울특별시 은평구 연서로32길 15-1,02-351-5054
불광1동,서울특별시 은평구 통일로78길 16,02-351-5054
불광1동,서울특별시 은평구 통일로78길 27,02-351-5054
불광1동,서울특별시 은평구 불광로5길 10-5,02-351-5054
불광1동,서울특별시 은평구 불광로9길 5,02-351-5054
불광1동,서울특별시 은평구 진흥로19길 22,02-351-5054
불광1동,서울특별시 은평구 통일로72길 30-14,02-351-5054
불광2동,서울특별시 은평구 통일로80길 27,02-351-5082
불광2동,서울특별시 은평구 통일로82나길 9,02-351-5082
불광2동,서울특별시 은평구 연서로41가길23-1,02-351-5082
불광2동,서울특별시 은평구 연서로41길 39-3,02-351-5082
불광2동,서울특별시 은평구 통일로88길 31-1,02-351-5082
불광2동,서울특별시 은평구 연서로253-14,02-351-5082
불광2동,서울특별시 은평구 불광로18길 43,02-351-5082
불광2동,서울특별시 은평구 연서로308,02-351-5082
불광2동,서울특별시 은평구 통일로82가길 8-1,02-351-5082
불광2동,서울특별시 은평구 통일로80길 13,02-351-5082
갈현1동,서울특별시 은평구 갈현로45길 14-20,02-351-5094
갈현1동,서울특별시 은평구 갈현로41길 45,02-351-5094
갈현1동,서울특별시 은평구 갈현로41길 57-2,02-351-5094
갈현1동,서울특별시 은평구 갈현로41길 50-2,02-351-5094
갈현1동,서울특별시 은평구 갈현로41길 9-4,02-351-5094
갈현1동,서울특별시 은평구 갈현동 산 3-6,02-351-5094
갈현1동,서울특별시 은평구 통일로89길 18-14,02-351-5094
갈현1동,서울특별시 은평구 갈현로45길 3,02-351-5094
갈현1동,서울특별시 은평구 통일로87길 18,02-351-5094
갈현2동,서울특별시 은평구 연서로21길 15,02-351-5142
갈현2동,서울특별시 은평구 갈현로29길 52,02-351-5142
갈현2동,서울특별시 은평구 갈현로29길 45,02-351-5142
갈현2동,서울특별시 은평구 갈현로25길 11-8,02-351-5142
갈현2동,서울특별시 은평구 서오릉로18길 33-4,02-351-5142
갈현2동,서울특별시 은평구 연서로19길 13,02-351-5142
갈현2동,서울특별시 은평구 갈현로27길 35,02-351-5142
갈현2동,서울특별시 은평구 연서로21길 24-13,02-351-5142
갈현2동,서울특별시 은평구 연서로21길 24-13,02-351-5142
구산동,서울특별시 은평구 서오릉로13길 10,02-351-5155
구산동,서울특별시 은평구 갈현로11가길 15,02-351-5155
구산동,서울특별시 은평구 서오릉로23길 13,02-351-5155
구산동,서울특별시 은평구 연서로11길 16,02-351-5155
구산동,서울특별시 은평구 서오릉로157-9,02-351-5155
구산동,서울특별시 은평구 서오릉로17길 15-29,02-351-5155
구산동,서울특별시 은평구 갈현로15길 18,02-351-5155
구산동,서울특별시 은평구 서오릉로11길 22-1,02-351-5155
구산동,서울특별시 은평구 연서로15길 40,02-351-5155
구산동,서울특별시 은평구 서오릉로17길 28-20,02-351-5155
대조동,서울특별시 은평구 연서로26길 9-11,02-351-5186
대조동,서울특별시 은평구 통일로71길 24-30,02-351-5186
대조동,서울특별시 은평구 역말로9길 40-58,02-351-5186
대조동,서울특별시 은평구 통일로69길 30,02-351-5186
대조동,서울특별시 은평구 연서로26길 26-3,02-351-5186
대조동,서울특별시 은평구 통일로69길 20,02-351-5186
대조동,서울특별시 은평구 통일로73길 29 앞전주,02-351-5186
대조동,서울특별시 은평구 통일로67길 12,02-351-5186
대조동,서울특별시 은평구 역말로9길 32,02-351-5186
대조동,서울특별시 은평구 통일로67길 9,02-351-5186
대조동,서울특별시 은평구 대조동 240-3,02-351-5186
응암1동,서울특별시 은평구 은평로6길 8-6,02-351-5214
응암1동,서울특별시 은평구 응암로32길 23,02-351-5214
응암1동,서울특별시 은평구 은평로12길 5,02-351-5214
응암1동,서울특별시 은평구 은평로18길 6,02-351-5214
응암1동,서울특별시 은평구 은평로4길 21-9,02-351-5214
응암1동,서울특별시 은평구 응암로318,02-351-5214
응암2동,서울특별시 은평구 응암로14길 15-27,02-351-5246
응암2동,서울특별시 은평구 백련산로4길 11-30,02-351-5246
응암2동,서울특별시 은평구 응암로20길 34-11,02-351-5246
응암2동,서울특별시 은평구 응암로16길 22-29,02-351-5246
응암2동,서울특별시 은평구 백련산로4길23,02-351-5246
응암2동,서울특별시 은평구 백련산로4길11,02-351-5246
