대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화지도),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타(Others)
아시아주,한국계중국인,남성,0,0,0,17,0,2030,0,0,150,129,19,0,1,4,20,0,5,1,0,0,0,0,0,5,0,293,1,4557,5773,66,194746,65509,6955,97,0,50332,0,601
아시아주,한국계중국인,여성,0,0,0,17,1,1552,0,2,202,73,13,0,0,1,7,1,3,1,0,1,0,0,0,3,0,222,0,5637,6839,54,184036,50215,9421,41,0,37629,0,168
아시아주,중국,남성,143,74,0,13197,0,41409,552,1,24974,380,3270,13,8,206,1287,608,947,81,30,217,0,0,81,5544,36,1373,1417,11888,7403,679,0,12668,4793,2083,0,0,92,551
아시아주,중국,여성,153,42,0,10506,1,40307,29,9,37803,117,4690,12,31,64,405,26,1772,60,288,116,0,0,78,2967,28,183,0,19099,12689,1351,0,23496,20553,1443,0,0,62,560
아시아주,베트남,남성,59,28,45,684,1,21237,237,1,14131,329,25544,2,37,15,138,31,2737,23,0,246,0,0,17,7322,4419,33705,9529,13676,2162,902,0,706,4437,608,0,0,1,1339
아시아주,베트남,여성,56,33,24,422,0,12557,111,2,19666,67,21376,0,131,0,69,44,3869,11,4,106,0,0,5,710,3129,3031,0,21178,2269,2080,1,1632,33802,292,0,0,0,687
아시아주,타이,남성,17,46,68505,32,0,331,13,0,147,22,44,0,13,3,78,15,16,7,0,13,3,3,16,1710,68,22378,0,250,75,51,1,19,137,94,0,0,5,125
아시아주,타이,여성,25,20,90715,28,0,900,2,0,440,11,354,0,0,3,71,5,37,2,1,10,0,0,41,219,80,4592,0,826,169,179,5,595,7944,425,0,0,4,181
아시아주,우즈베키스탄,남성,27,13,1,99,0,2636,58,0,9141,82,1825,0,0,4,97,65,1141,7,0,10,0,0,45,1421,268,13595,0,3898,835,705,13829,1108,221,1010,0,4981,0,416
아시아주,우즈베키스탄,여성,27,15,0,10,0,431,2,0,1440,2,178,0,0,0,8,7,190,5,1,2,0,0,7,47,31,165,0,4348,704,1224,13624,1436,1797,104,0,4269,0,86
아시아주,필리핀,남성,27,44,3,763,0,4865,120,0,259,121,78,0,101,12,28,48,21,20,0,25,5,3,185,1054,2279,22738,32,609,189,160,8,66,575,302,0,0,1,431
아시아주,필리핀,여성,26,47,1,450,0,6035,24,0,400,62,167,0,102,4,9,2,32,34,1,25,0,0,1690,190,1074,2166,7,2512,347,354,5,634,11212,313,0,0,1,957
아시아주,네팔,남성,6,14,0,272,0,722,26,0,2682,15,158,0,78,0,57,22,208,15,0,86,0,0,0,4661,455,42910,0,137,426,270,0,121,195,365,0,0,0,766
아시아주,네팔,여성,7,14,0,14,0,197,5,0,1569,2,154,0,22,0,6,4,130,1,0,22,0,0,0,98,132,3606,0,338,203,1283,0,68,561,126,0,0,0,140
아시아주,인도네시아,남성,29,42,0,492,0,3845,6,0,850,75,119,0,29,10,9,21,64,9,0,43,4,2,8,1929,48,35039,9459,36,85,193,220,53,119,83,0,0,5,53
아시아주,인도네시아,여성,48,53,0,153,0,4902,3,1,1325,17,282,0,43,6,6,3,92,6,1,25,0,0,32,237,2,1014,1,115,119,416,44,184,1034,49,0,0,9,25
아시아주,일본,남성,105,89,16,10978,0,7,124,2,401,0,139,38,20,147,1555,42,12,41,21,162,8,6,173,204,0,0,0,101,166,302,188,628,906,6,83,0,0,20
아시아주,일본,여성,99,104,9,18749,0,7,16,1,2495,0,1598,6,23,19,78,1,111,31,98,10,0,0,255,265,0,0,0,177,348,817,617,6454,8032,11,1210,0,4,103
