"년월","대분류","중분류","전화","방문","이메일","게시판","SNS","이동상담","문자","합계"
"202502","교육","교육기관","3","0","0","0","0","0","","0"
"202502","교육","기타","5","1","0","0","0","0","","0"
"202502","교육","보육시설","0","0","0","0","0","0","","0"
"202502","교육","불편/개선건의","0","0","0","0","0","0","","0"
"202502","교육","일반교육","10","13","0","0","0","0","","0"
"202502","교육","한국어교육","18","4","1","0","1","0","","0"
"202502","교통","기타","1","0","0","0","0","0","","0"
"202502","교통","대중교통","0","0","0","0","0","0","","0"
"202502","교통","불편/개선건의","0","0","0","0","0","0","","0"
"202502","교통","유실물","0","0","0","0","0","0","","0"
"202502","교통","항공 및 선박","0","0","0","0","0","0","","0"
"202502","금융","기타","1","0","0","0","0","0","","0"
"202502","금융","불편/개선건의","0","0","0","0","0","0","","0"
"202502","금융","신용카드","0","0","0","0","0","0","","0"
"202502","금융","은행업무","8","0","0","0","0","0","","0"
"202502","기타","기타","5","2","0","0","0","0","","0"
"202502","기타","렌탈","1","0","0","0","0","0","","0"
"202502","기타","매매/교환","0","0","0","0","0","0","","0"
"202502","기타","불편/개선건의","0","0","0","0","0","0","","0"
"202502","기타","센터안내","13","3","1","0","0","0","","0"
"202502","기타","통역","17","0","0","0","0","0","","0"
"202502","노무","고용보험","4","0","0","0","0","0","","0"
"202502","노무","구인","4","0","0","0","0","0","","0"
"202502","노무","구직","4","3","0","0","0","0","","0"
"202502","노무","근로자교육","0","0","0","0","0","0","","0"
"202502","노무","근로조건","7","0","0","0","0","0","","0"
"202502","노무","급여","25","7","0","0","0","0","","0"
"202502","노무","기타","4","4","0","0","0","0","","0"
"202502","노무","부당해고","2","0","0","0","0","0","","0"
"202502","노무","불편/개선건의","3","2","0","0","0","0","","0"
"202502","노무","사업장변경","4","0","0","0","0","0","","0"
"202502","노무","사업장이탈","0","0","0","0","0","0","","0"
"202502","노무","산재보험","3","0","0","0","0","0","","0"
"202502","노무","외국근로자보험","15","4","0","0","0","0","","0"
"202502","노무","재고용","9","0","0","0","0","0","","0"
"202502","노무","체불임금","12","9","0","0","0","0","","0"
"202502","문화/관광","교류/행사","1","0","0","0","0","0","","0"
"202502","문화/관광","기타","0","0","0","0","0","0","","0"
"202502","문화/관광","불편/개선건의","0","0","0","0","0","0","","0"
"202502","문화/관광","여행/관광","1","0","0","0","0","0","","0"
"202502","문화/관광","자원봉사","0","0","0","0","0","0","","0"
"202502","문화/관광","종교","0","0","0","0","0","0","","0"
"202502","보건/복지","건강보험","5","3","0","0","0","0","","0"
"202502","보건/복지","국민연금","18","6","0","0","0","0","","0"
"202502","보건/복지","기타","1","0","0","0","0","0","","0"
"202502","보건/복지","동물병원","0","0","0","0","0","0","","0"
"202502","보건/복지","무료진료","0","0","0","0","0","0","","0"
"202502","보건/복지","방역","0","0","0","0","0","0","","0"
"202502","보건/복지","불편/개선건의","0","0","0","0","0","0","","0"
"202502","보건/복지","사보험","1","0","0","0","0","0","","0"
"202502","보건/복지","사회복지","5","1","0","0","0","0","","0"
"202502","보건/복지","심리상담","0","0","0","0","0","0","","0"
"202502","보건/복지","의료기관","6","5","0","0","0","0","","0"
"202502","보건/복지","재난지원금","0","0","0","0","0","0","","0"
"202502","보건/복지","중국어 심리상담","0","0","0","0","0","0","","0"
"202502","비즈니스","FDI/금융","0","0","0","0","0","0","","0"
"202502","비즈니스","관세/통관","0","0","0","0","0","0","","0"
"202502","비즈니스","기타","6","1","1","0","0","0","","0"
"202502","비즈니스","노무/인사","0","0","0","0","0","0","","0"
"202502","비즈니스","마케팅","0","0","0","0","0","0","","0"
"202502","비즈니스","무역특화","0","0","0","0","0","0","","0"
"202502","비즈니스","법률/상법","0","0","1","0","0","0","","0"
"202502","비즈니스","불편/개선건의","0","0","0","0","0","0","","0"
"202502","비즈니스","비자","0","0","0","0","0","0","","0"
"202502","비즈니스","비즈네트워킹","0","0","0","0","0","0","","0"
"202502","비즈니스","비즈한국어","0","0","0","0","0","0","","0"
"202502","비즈니스","세금","1","0","0","0","0","0","","0"
"202502","비즈니스","인허가","0","0","0","0","0","0","","0"
"202502","비즈니스","지식재산권","0","0","0","0","0","0","","0"
"202502","비즈니스","창업교육","0","0","0","0","0","0","","0"
"202502","비즈니스","창업보육","0","0","0","0","0","0","","0"
"202502","비즈니스","창업일반","7","0","0","0","0","0","","0"
"202502","비즈니스","회사설립","5","1","1","0","0","0","","0"
"202502","안전","교통사고","1","0","0","0","0","0","","0"
"202502","안전","기타","0","0","0","0","0","0","","0"
"202502","안전","민사사건","0","1","0","0","0","0","","0"
"202502","안전","불편/개선건의","0","0","0","0","0","0","","0"
"202502","안전","일반사고","0","0","0","0","0","0","","0"
"202502","안전","재난/재해","0","0","0","0","0","0","","0"
"202502","안전","형사사건","2","0","0","0","0","0","","0"
"202502","여성/가족","가정폭력","0","0","0","0","0","0","","0"
"202502","여성/가족","가족상담","0","0","0","0","0","0","","0"
"202502","여성/가족","기타","1","1","0","0","0","0","","0"
"202502","여성/가족","불편/개선건의","0","0","0","0","0","0","","0"
"202502","여성/가족","이혼","0","0","0","0","0","0","","0"
"202502","여성/가족","임신/출산","2","0","0","0","0","0","","0"
"202502","정보통신","기타","0","0","0","0","0","0","","0"
"202502","정보통신","불편/개선건의","0","0","0","0","0","0","","0"
"202502","정보통신","우편/택배등","1","0","0","0","0","0","","0"
"202502","정보통신","인터넷","1","0","0","0","0","0","","0"
"202502","정보통신","전화","0","0","0","0","0","0","","0"
"202502","정보통신","케이블/위성TV","0","0","0","0","0","0","","0"
"202502","정보통신","휴대폰","0","1","0","0","0","0","","0"
"202502","주거","공과금","0","0","0","0","0","0","","0"
"202502","주거","기타","4","1","0","0","0","0","","0"
"202502","주거","부동산매매","2","2","0","0","0","0","","0"
"202502","주거","부동산임대","4","0","0","0","0","0","","0"
"202502","주거","불편/개선건의","4","0","0","0","0","0","","0"
"202502","주거","이사","1","0","0","0","0","0","","0"
"202502","주거","주거관련분쟁","7","0","0","0","0","0","","0"
"202502","출입국","검역/세관","0","0","0","0","0","0","","0"
"202502","출입국","귀화/영주권","6","6","0","0","0","0","","0"
"202502","출입국","기타","17","6","0","0","0","0","","0"
"202502","출입국","난민","0","0","0","0","0","0","","0"
"202502","출입국","불편/개선건의","0","0","0","0","0","0","","0"
"202502","출입국","사증변경","16","18","3","0","0","0","","1"
"202502","출입국","사증연장","32","14","0","0","0","0","","0"
"202502","출입국","사증자격","8","4","0","0","0","0","","0"
"202502","출입국","사증취득","7","1","2","0","0","0","","0"
"202502","출입국","외국인등록증","17","11","1","0","0","0","","0"
"202502","출입국","초청","2","2","0","0","0","0","","0"
"202502","출입국","출국/입국","12","7","0","0","0","0","","0"
"202502","행정","공증","0","0","0","0","0","0","","0"
"202502","행정","기타","11","2","0","0","0","0","","0"
"202502","행정","불편/개선건의","0","0","0","0","0","0","","0"
"202502","행정","세무","6","0","2","0","0","0","","0"
"202502","행정","소비자상담","0","0","0","0","0","0","","0"
"202502","행정","쓰레기처리","0","0","0","0","0","0","","0"
"202502","행정","여권","1","0","0","0","0","0","","0"
"202502","행정","운전면허","3","1","0","0","0","0","","0"
"202502","행정","인감","0","0","0","0","0","0","","0"
"202502","행정","일반법률","14","1","0","0","0","0","","0"
"202502","행정","자동차관련","2","1","0","0","0","0","","0"
"202502","행정","출생 및 사망","1","0","0","0","0","0","","0"
"202502","행정","행정기관","10","4","0","0","0","0","","0"
"202502","행정","행정소송","0","0","0","0","0","0","","0"
"202502","행정","혼인관계","1","0","0","0","0","0","","0"
"202501","교육","교육기관","0","0","0","0","0","0","","0"
"202501","교육","기타","7","3","0","0","0","0","","0"
"202501","교육","보육시설","0","0","0","0","0","0","","0"
"202501","교육","불편/개선건의","1","0","0","0","0","0","","0"
"202501","교육","일반교육","8","8","0","0","0","0","","0"
"202501","교육","한국어교육","15","1","1","0","0","0","","0"
"202501","교통","기타","0","0","0","0","0","0","","0"
"202501","교통","대중교통","0","0","0","0","0","0","","0"
"202501","교통","불편/개선건의","0","0","0","0","0","0","","0"
"202501","교통","유실물","0","0","0","0","0","0","","0"
"202501","교통","항공 및 선박","0","0","0","0","0","0","","0"
"202501","금융","기타","0","1","0","0","0","0","","0"
"202501","금융","불편/개선건의","0","0","0","0","0","0","","0"
"202501","금융","신용카드","0","0","0","0","0","0","","0"
"202501","금융","은행업무","8","3","0","0","0","0","","0"
"202501","기타","기타","4","0","0","0","0","0","","0"
"202501","기타","렌탈","0","0","0","0","0","0","","0"
"202501","기타","매매/교환","0","0","0","0","0","0","","0"
"202501","기타","불편/개선건의","0","0","0","0","0","0","","0"
"202501","기타","센터안내","4","0","0","0","0","0","","0"
"202501","기타","통역","7","0","0","0","0","0","","0"
"202501","노무","고용보험","0","0","0","0","0","0","","0"
"202501","노무","구인","1","0","0","0","0","0","","0"
"202501","노무","구직","6","1","0","0","0","0","","0"
"202501","노무","근로자교육","0","0","0","0","0","0","","0"
"202501","노무","근로조건","14","0","0","0","0","0","","0"
"202501","노무","급여","21","2","0","0","0","0","","0"
"202501","노무","기타","4","1","0","0","0","0","","0"
"202501","노무","부당해고","4","0","0","0","0","0","","0"
"202501","노무","불편/개선건의","2","0","0","0","0","0","","0"
"202501","노무","사업장변경","6","0","0","0","0","0","","0"
"202501","노무","사업장이탈","0","0","0","0","0","0","","0"
"202501","노무","산재보험","1","0","0","0","0","0","","0"
"202501","노무","외국근로자보험","19","7","0","0","0","0","","0"
"202501","노무","재고용","7","0","0","0","0","0","","0"
"202501","노무","체불임금","17","2","0","0","0","0","","0"
"202501","문화/관광","교류/행사","0","0","0","0","0","0","","0"
"202501","문화/관광","기타","1","0","0","0","0","0","","0"
"202501","문화/관광","불편/개선건의","0","0","0","0","0","0","","0"
"202501","문화/관광","여행/관광","1","1","0","0","0","0","","0"
"202501","문화/관광","자원봉사","0","0","0","0","0","0","","0"
"202501","문화/관광","종교","0","0","0","0","0","0","","0"
"202501","보건/복지","건강보험","4","0","0","0","0","0","","0"
"202501","보건/복지","국민연금","13","7","0","0","0","0","","0"
"202501","보건/복지","기타","1","0","0","0","0","0","","0"
"202501","보건/복지","동물병원","0","0","0","0","0","0","","0"
"202501","보건/복지","무료진료","0","0","0","0","0","0","","0"
"202501","보건/복지","방역","0","0","0","0","0","0","","0"
"202501","보건/복지","불편/개선건의","0","0","0","0","0","0","","0"
"202501","보건/복지","사보험","0","1","0","0","0","0","","0"
"202501","보건/복지","사회복지","1","2","0","0","0","0","","0"
"202501","보건/복지","심리상담","2","0","0","0","0","0","","0"
"202501","보건/복지","의료기관","2","1","0","0","0","0","","0"
"202501","보건/복지","재난지원금","0","0","0","0","0","0","","0"
"202501","보건/복지","중국어 심리상담","0","0","0","0","0","0","","0"
"202501","비즈니스","FDI/금융","0","0","0","0","0","0","","0"
"202501","비즈니스","관세/통관","0","0","0","0","0","0","","0"
"202501","비즈니스","기타","1","0","0","0","0","0","","0"
"202501","비즈니스","노무/인사","0","0","0","0","0","0","","0"
"202501","비즈니스","마케팅","0","0","0","0","0","0","","0"
"202501","비즈니스","무역특화","0","0","0","0","0","0","","0"
"202501","비즈니스","법률/상법","2","0","1","0","0","0","","0"
"202501","비즈니스","불편/개선건의","0","0","0","0","0","0","","0"
"202501","비즈니스","비자","0","0","0","0","0","0","","0"
"202501","비즈니스","비즈네트워킹","0","0","0","0","0","0","","0"
"202501","비즈니스","비즈한국어","0","0","0","0","0","0","","0"
"202501","비즈니스","세금","1","0","0","0","0","0","","0"
"202501","비즈니스","인허가","0","0","0","0","0","0","","0"
"202501","비즈니스","지식재산권","0","0","0","0","0","0","","0"
"202501","비즈니스","창업교육","1","0","0","0","0","0","","0"
"202501","비즈니스","창업보육","0","0","0","0","0","0","","0"
"202501","비즈니스","창업일반","6","0","0","0","0","0","","0"
"202501","비즈니스","회사설립","1","1","1","0","0","0","","0"
"202501","안전","교통사고","0","0","0","0","0","0","","0"
"202501","안전","기타","0","0","0","0","0","0","","0"
"202501","안전","민사사건","0","2","0","0","0","0","","0"
"202501","안전","불편/개선건의","1","0","0","0","0","0","","0"
"202501","안전","일반사고","0","0","0","0","0","0","","0"
"202501","안전","재난/재해","0","0","0","0","0","0","","0"
"202501","안전","형사사건","1","0","0","0","0","0","","0"
"202501","여성/가족","가정폭력","0","0","0","0","0","0","","0"
"202501","여성/가족","가족상담","0","0","0","0","0","0","","0"
"202501","여성/가족","기타","0","0","0","0","0","0","","0"
"202501","여성/가족","불편/개선건의","1","0","0","0","0","0","","0"
"202501","여성/가족","이혼","4","1","0","0","0","0","","0"
"202501","여성/가족","임신/출산","1","0","0","0","0","0","","0"
"202501","정보통신","기타","0","0","0","0","0","0","","0"
"202501","정보통신","불편/개선건의","0","0","0","0","0","0","","0"
"202501","정보통신","우편/택배등","1","0","0","0","0","0","","0"
"202501","정보통신","인터넷","0","0","0","0","0","0","","0"
"202501","정보통신","전화","0","0","0","0","0","0","","0"
"202501","정보통신","케이블/위성TV","0","0","0","0","0","0","","0"
"202501","정보통신","휴대폰","1","0","0","0","0","0","","0"
"202501","주거","공과금","0","0","0","0","0","0","","0"
"202501","주거","기타","0","0","0","0","0","0","","0"
"202501","주거","부동산매매","0","0","0","0","0","0","","0"
"202501","주거","부동산임대","1","0","0","0","0","0","","0"
"202501","주거","불편/개선건의","1","0","0","0","0","0","","0"
"202501","주거","이사","0","0","0","0","0","0","","0"
"202501","주거","주거관련분쟁","5","0","0","0","0","0","","0"
"202501","출입국","검역/세관","1","0","0","0","0","0","","0"
"202501","출입국","귀화/영주권","4","5","0","0","0","0","","0"
"202501","출입국","기타","14","4","0","0","0","0","","0"
"202501","출입국","난민","0","0","0","0","0","0","","0"
"202501","출입국","불편/개선건의","0","0","0","0","0","0","","0"
"202501","출입국","사증변경","6","16","0","0","0","0","","0"
"202501","출입국","사증연장","27","33","0","0","0","0","","0"
"202501","출입국","사증자격","4","1","0","0","0","0","","0"
"202501","출입국","사증취득","2","5","0","0","0","0","","0"
"202501","출입국","외국인등록증","12","23","0","0","0","0","","0"
"202501","출입국","초청","2","3","0","0","0","0","","0"
"202501","출입국","출국/입국","3","0","0","0","0","0","","0"
"202501","행정","공증","0","0","0","0","0","0","","0"
"202501","행정","기타","7","1","0","0","0","0","","0"
"202501","행정","불편/개선건의","0","0","0","0","0","0","","0"
"202501","행정","세무","3","3","0","0","0","0","","0"
"202501","행정","소비자상담","0","0","0","0","0","0","","0"
"202501","행정","쓰레기처리","0","0","0","0","0","0","","0"
"202501","행정","여권","3","0","0","0","0","0","","0"
"202501","행정","운전면허","6","5","0","0","0","0","","0"
"202501","행정","인감","0","0","0","0","0","0","","0"
"202501","행정","일반법률","24","0","0","0","0","0","","0"
"202501","행정","자동차관련","1","0","0","0","0","0","","0"
"202501","행정","출생 및 사망","1","0","0","0","0","0","","0"
"202501","행정","행정기관","6","3","1","0","0","0","","0"
"202501","행정","행정소송","0","1","0","0","0","0","","0"
"202501","행정","혼인관계","2","2","0","0","0","0","","0"
"202412","교육","교육기관","4","0","0","0","0","0","","0"
"202412","교육","기타","9","2","0","0","0","0","","0"
"202412","교육","보육시설","0","0","0","0","0","0","","0"
"202412","교육","불편/개선건의","0","0","0","0","0","0","","0"
"202412","교육","일반교육","4","6","0","0","0","0","","0"
"202412","교육","한국어교육","9","5","0","0","0","0","","0"
"202412","교통","기타","0","0","0","0","0","0","","0"
"202412","교통","대중교통","0","0","0","0","0","0","","0"
"202412","교통","불편/개선건의","0","0","0","0","0","0","","0"
