"년월","기관/유형","한국어","영어","일본어","중국어","베트남어","타갈로그어","몽골어","프랑스어","러시아어","우즈벡어","태국어","네팔어","인도네시아어","파키스탄어(우르두어)","아랍어","스페인어","기타언어","합계"
"202502","SNS","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"202502","게시판","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202502","문자","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"202502","방문","20","44","4","42","2","29","0","0","9","3","0","0","0","0","0","0","0","153"
"202502","이동상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202502","이메일","6","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","13"
"202502","전화","84","78","4","73","4","117","0","0","45","26","0","0","0","0","0","0","0","431"
"202502","화상상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202501","SNS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202501","게시판","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202501","문자","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202501","방문","40","21","1","67","0","18","0","0","3","0","0","0","0","0","0","0","0","150"
"202501","이동상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202501","이메일","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"202501","전화","73","55","4","68","0","112","0","0","26","0","0","0","0","0","0","0","0","338"
"202501","화상상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202412","SNS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202412","게시판","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202412","문자","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202412","방문","20","30","5","49","0","23","0","0","4","0","0","0","0","0","0","0","0","131"
"202412","이동상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202412","이메일","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202412","전화","52","46","5","87","0","95","0","0","35","0","0","0","0","0","0","0","0","320"
"202412","화상상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202411","SNS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202411","게시판","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202411","문자","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
